shastragaar,शस्त्रागार
ainlaabaad,ऐनलाबाद
antaryami,अन्तर्यामी
sayamane,सयामने
eells,ईल्स
hospitalna,हॉस्पिटलना
jayawardene,जयावर्धने
bulnerable,बल्नरेबल
jirnoddharasathi,जीर्णोद्धारासाठी
abhiyanahi,अभियानही
udhogik,उद्योगिक
chhatriyon,छतरियों
bhulavan,भुलावन
tilkutgaya,तिलकुटगया
senda,सेंडा
devav,देवव
aakarshati,आकर्षति
freemantle,फ्रीमैंटल
kaywahi,कायवाही
mataiqy,मतैक्य
creams,क्रीम्स
unguliyan,उंगुलियां
aswal,अस्वाल
shrilankai,श्रीलंकाई
raitapara,रैतापारा
vedantacharya,वेदान्ताचार्य
rensje,रेंस्जे
temsula,तेम्सुला
wilambit,विलम्बित
vaarat,वारत
bhosalenchi,भोसलेंची
chhatpataayegi,छटपटाएगी
beedha,बीढ़ा
chhabileram,छबीलेराम
ilmagkali,इलमागकली
chhattargachh,छत्तरगाछ
samjhautabhar,समझौताभर
brahastu,ब्रहस्तु
mahaabuddh,महाबुद्ध
paumila,पौमिला
subtillis,सबटिलिस
danwari,दानवारी
nirbandhata,निर्बंधता
antigonus,आन्तिगोनुस
authership,आथरशिप
alopathy,ऐलोपैथी
hrdc,एचआरडीसी
sengdana,सेंगदाना
ambulance,एंबुलेंस
bhaiband,भाईबन्द
roskoi,रोसकोई
airmf,एआइआरएमएफ
maimuna,मैमुना
wri,वृ
gurude,गुरुदे
ghatkanchich,घटकांचीच
babgonda,बाबगोंडा
unadkad,उनादकड़
haivaanagi,हैवानगी
teletronix,टेलीट्रोनिक्स
yaroo,यरू
lehmann,लेहमन
marwah,मारवाह
taadaatmy,तादात्म्य
baxnuma,बाक्सनुमा
dhaposale,ढपोसले
chhattarwal,छत्तरवाल
oleum,ओलियम
pampurnag,पंपूरनाग
ubalane,उबालने
maarataay,मारताय
bhaldev,भालदेव
kshativikshit,क्षतिविक्षित
pockerstar,पोकरस्टार
sambhavit,सम्भावित
adhivibhagantil,अधिविभागांतील
paramyogi,परमयोगी
oroskar,ओरोसकर
pallyache,पल्ल्याचे
shunrui,शुनरुई
kalakundu,कालाकुंडु
pakshim,पक्षिम
sikkabandi,सिक्काबन्दी
tribank,त्रिबंक
volunteer,वालेंटियर
apollinaire,एपोलिनेयर
colangelo,कोलान्गेलो
mathuradutt,मथुरादत्त
kaathiyaavaadi,काठियावाड़ी
aadilla,आदिल्ल
biriahar,बिरियाहार
poultro,पॉल्ट्रो
hanumand,हनुमंद
domasik,दोमासिक
barfbhanjak,बर्फ़भंजक
dugrana,डुगराना
raseela,रसीला
gobadh,गोबध
daityaguru,दैत्यगुरु
dehytrate,डीहाइट्रेट
activating,एक्टिवेटिंग
hematology,हेमटोलॉजी
empla,एम्पला
linkingchya,लिंकिंगच्या
mcvity,मैक्विटी
sabroom,सब्रूम
gokulnathji,गोकुलनाथजी
sulphites,सल्फाइट्स
intrusion,इंट्रूज्न
manugade,मनुगडे
itir,आईटीआईआर
ramchandani,रामचंदानी
sambandhamei,संबन्धमें
vishwakar,विश्वकर
bachhata,बछता
mahora,महोरा
shrigroup,श्रीग्रुप
shreshthion,श्रेष्ठिओं
yekhali,येखाली
koratla,कोरटला
raikwa,रैक्व
ayushi,आयुषी
ghadbad,घड़बड़
lakaa,लका
betawar,बेटावर
sannidanam,सन्नीदानम
gunhouse,गनहाउस
verulam,वेरुलम
rekhaganit,रेखागणित
ibrite,आईब्राइट
shrang,शांग
duniye,दुनिये
icalendar,कैलेण्डर
tadakhebaj,तडाखेबाज
vardaraja,वरदराजा
jhunjhunwala,झुंझुंवाला
framilly,फ्रैमिली
payincha,पयिंचा
nagusingh,नागूसिंह
ahendr,ंअहेन्ड्र
paramjitsinh,परमजीतसिंह
ragdarbari,रागदरबारी
supersexy,सुपरसेक्सी
kaanpe,कांपे
talaaee,तळाई
mookhyamatritvakala,मुख्यमंत्रित्वकाल
nayabaz,नयाबाज
abhayshankar,अभयशंकर
menus,मैन्यु
armiwala,आर्मीवाला
hmc,एचएमसी
dolphinechya,डॉल्फिनच्या
durres,डरस
nagayalanka,नागयलंका
jagaayen,जगायें
nuqasaanadaayak,नुक़सानदायक
kufuor,कुफोर
hulske,हल्सके
chukalyasarkhe,चुकल्यासारखे
beintaha,बेइंतहा
agostino,अगोस्टीनो
garijaghar,गरिजाघर
uberoy,उबेरॉय
serpentine,सर्पेंटाइन
ups,अप्पस
ranbhir,रणभीर
alkadar,अल्कादर
kantratanusar,कंत्राटानुसार
narmadaki,नर्मदाकी
vrihatkathamanjari,वृहत्कथामंजरी
aarminiyaaeeyon,आर्मीनियाईयों
rochello,रोचेलो
aajmaavataat,आजमावतात
darshananadi,दर्शननादि
makhmailpur,मखमैलपुर
ntadcl,एनटीएडीसीएल
nayya,नैया
porthwiden,पोर्थविडन
textphone,ठेद्ट्प्होने
kalidasana,कालीदासन
tealers,टीलर्स
ashith,अशिथ
pragadta,प्रगड़ता
kissed,किस्ड
nisana,निसाना
santanke,सन्तानके
manojkanti,मनोजकांति
sadaipur,सदाईपुर
dharmaatoon,धर्मातून
bhundupani,भुंडूपानी
erated,एरेटेड
chalvit,चालवित
ghanvaadi,घनवादी
fleece,फ्लीस
fuzuli,फिज़ूली
prasaaraasaathi,प्रसारासाठी
tracheostomy,ट्रैकियोस्टॉमी
snaapar,स्नापर
nimnakint,निम्नाकिंत
salamatrai,सलामतराय
arigpoodi,आरिगपूडि
sreejeeo,श्रीजीओ
ravilal,रवीलाल
cleanichit,क्लीनिचिट
gursharananand,गुरशरणानन्द
chuasi,चुआसी
deponchi,डेपोंची
mercara,मिरकारा
navprerana,नवप्रेरणा
agrganya,अग्रगण्य
pramal,प्रमल
undavalli,उंडावल्ली
mussafir,मुसाफ़िर
pariya,परिया
blanch,ब्लैंच
israi,इसराई
ratnasain,रत्नसेन
selector,सेलेक्टर
avoidance,अवॉयडेंस
bijipur,बीजीपुर
upcharsel,उपचारसेल
minlal,मिनलाल
schwinger,श्विंगर
mahendradutt,महेन्द्रदत्त
yunakula,युनाकुला
mehandipur,मेहन्दीपुर
chitrapatanmadhil,चित्रपटांमधील
aaksheparog,आक्षेपरोग
aajaae,आजाए
seemayanal,सीमायनल
chengdabandha,चेंगड़ाबांधा
limitations,लिमिटेशन्स
gadhsa,गढ़सा
afzalkhan,अफजलखान
hindfauz,हिंदफौज
sanvartt,संवर्त्त
khurnak,खुरनक
mantility,मैंटीलिटी
ellege,एलेज
matmaila,मटमैला
vedotpatti,वेदोत्पत्ति
nandehal,नंदेहल
adhiparicharikanchya,अधिपरिचारिकांच्या
lagvaayega,लगवाएगा
badhaamalaharaa,बड़ामलहरा
bhulakana,भुलकना
sidwarthnagar,सिद्वार्थनगर
jakolari,जाकोलारी
tauliyaa,तौलिया
avasheshan,अवशेषण
sandpipers,सैंडपाइपरों
sikhwa,सिखवा
dwimanjile,द्विमंजिले
bhojanmein,भोजनमें
puniyanirana,पुनियानीराणा
soldling,सोल्डलिंग
indiryon,इन्दिर्यों
karanjtoli,करंजटोली
adityapur,आदित्यपुर
shalparn,शालपर्ण
grandi,ग्रांडी
bandhul,बन्धुल
makhosarani,माखोसरानी
dvigu,द्विगु
dehini,देहिनी
uskechehre,उसकेचेहरे
siganporia,सिगनपोरिया
bulvaaya,बुलवाया
denburn,डेनबर्न
kandyavarach,कांद्यावरच
manganese,मैन्गनीज
adhyataneekaran,अध्यतनीकरण
asadvichar,असद्विचार
peelamedu,पीलामेडु
soumitradey,सौमित्रदेई
niyathivaad,नियतिवाद
parkingchahi,पार्किंगचाही
iskemal,इस्केमाल
chhudvaani,छुड़वानी
achethan,अचेतन
kaushaltapurna,कौशलतापूर्ण
nirastrikaranaki,निरस्त्रीकरणकी
thedi,थेडी
mawas,मवास
rajeshshreevastav,राजेशश्रीवास्तव
pickup,पिकअप
bojorn,बोजोर्न
reinhartz,रेनहर्ट्ज़
gippalon,गिप्पलों
fgc,एफजीसी
sarupata,सरूपता
avyayibhav,अव्ययीभाव
railvesthankanmadhye,रेल्वेस्थानकांमध्ये
lambaiwale,लंबाईवाले
akshanshu,अक्षांशु
bettina,बेट्टीना
sukaru,सुकारू
shapu,शापू
sahriptikaran,सहृप्तिकरण
chhonkane,छोंकने
scientologist,साइनटोलॉजिस्ट
bharanam,भरणम
luniyakhedi,लूणियाखेड़ी
paintaalisavaan,पैंतालीसवां
sekadon,सेकडों
bernanke,बर्ननंके
kendrasthal,केन्द्रस्थल
arikshak,अरिक्षक
chisset,चिसेट
sarjunagar,सरजूनगर
tahseen,ताशिन
sekate,सेकते
jirat,जिराट
rajonivritt,रजोनिवृत्त
vipadaae,विपदाए
osmanbhai,उस्मानभाई
kompalikeshans,कॉम्पलिकेशन्स
tamim,तमिम
baithhayaa,बैठाया
karyasha,कार्यशा
tissi,तिस्सी
wenchang,वेंचांग
unchaakot,ऊंचाकोट
kisina,किसीना
romanum,रोमानम
pradil,प्रदील
hiyabin,हियाबिन
oncogenic,ओंकोजेनिक
tarnado,टार्नेडो
bhojangrih,भोजनगृह
trotayug,त्रोतायुग
jhupadpatti,झुपड़पट्टी
multilocularis,मल्टीलोक्युलेरिस
gramjyoti,ग्रामज्योति
mirpagaar,मिरपगार
pahuunchaayegi,पहूँचायेगी
donner,डॉनर
starpark,स्टारपार्क
simbad,सिम्बाड
pootharan,पूथरन
nirikshakankade,निरीक्षकांकडे
tomesh,तोमेश
modas,मोडास
jootiyaate,जूतियाते
balabalanusar,बलाबलानुसार
kelehar,केलेहर
petol,पेटोल
punnaivanam,पुन्नईवनम
panapee,पनपी
samirul,समीरुल
daraaz,दराज
aher,अहेर
kolhapurkade,कोल्हापूरकडे
jipti,जिप्ती
shaturmurgi,शतुरमुर्गी
saristedaar,सरिस्तेदार
onozuka,ओनोजुका
vinayaavanat,विनयावनत
shirdard,शिरदर्द
vladivoskov,व्लादिवोस्कोव
togger,टॉगर
aabnusi,आबनूसी
samgibordi,सामगीबोर्डी
davaiyan,दवाईयां
ghusaanaa,घुसाना
gwadalajara,ग्वाडलजारा
ambure,अंबुरे
khaparkheda,खापरखेडा
infidelity,इनफिडेलिटी
regimens,रेजिमेंस
indigator,इंडीगेटर
vedantala,वेदांतला
aadatah,आदतः
bagdolia,बगडोलिया
bhasod,भसोड़
sankrel,सांकरेल
kharadpatti,खरडपट्टी
gaatra,गात्र
senset,सेनसेट
nazdikpahunchne,नज़दीकपहुँचने
moises,माइसेस
snehache,स्नेहाचे
rundal,रुंडल
sadegaa,सड़ेगा
khelkumbh,खेलकुंभ
lagatare,लगातारे
seasphire,सीसफायर
takkyapramane,टक्क्याप्रमाणे
bullance,बुलैंस
parvaartit,परवार्तित
ankachi,अंकाची
mukhakamal,मुखकमल
shakalbela,शकलबेला
graphophone,ग्राफोफ़ोन
zibaah,ज़िबाह
aarthit,आर्थित
varshaaviheen,वर्षाविहीन
meazza,मेअज़्ज़ा
lokaat,लोकात
jeetaten,जीततें
lasaniya,लसनिया
rajaldevi,राजलदेवी
mahwasi,माहवासी
lazarus,लाजारस
premates,प्रिमेट्स
jarta,जरता
paturki,पतुर्की
yingtai,यिंगटाई
sochwali,सोचवाली
bhandupmadhye,भांडुपमध्ये
interceptor,इन्टरसेप्टर
dastabal,दस्ताबल
hyperlinks,हाइपरलिंक
ivanisevic,इवानिसेविच
unitia,यूनीशिया
ridhorkar,रिढोरकर
supra,सुप्र
belkar,बेल्कर
nedlard,नेडलार्ड
raaizaras,राइज़रस
badashah,बादाशाह
chhatrasainik,छात्रसैनिक
instgram,इंस्ट्ग्राम
gunsheen,गुनशीन
samuchchayavaadi,समुच्चयवादी
rosatum,रोसाटम
sarjeev,सरजीव
inasab,इनसब
pragatimen,प्रगतिमें
hamiyat,हमियत
capacity,कैपिसिटी
bhoganarasimha,भोगनरसिंह
therolin,थेरोलिन
gwalpariya,ग्वालपरिया
batwa,बतवा
kalanjiyam,कालंजयम
aawashyaktaa,आवश्यक्ता
koneme,कोनेमे
anjumanon,अन्जुमनों
jondhale,जोनढाले
chinying,चिनयिंग
cheliyar,चेलियार
enthraiks,ऐन्थ्रैक्स
sukhipur,सुखीपुर
photogrammity,फोटोग्रामिटी
mijhauna,मिझौना
balasubramaniam,बालसुब्रमण्यम
fenderal,फेंडरल
kashaatoon,कशातून
bhikshadan,भिक्षादान
soloviev,सोलोविएव
siffer,सिफर
lagarahi,लगरही
vayampoorna,वयंपूर्ण
dindila,दिंडीला
cordate,कॉर्डेट
hideo,हिडियो
neelap,नीलप
ladkhadaake,लड़खड़ाके
mahavimarsh,महाविमर्श
zabihullah,जुबिहुल्ला
kishnya,किशन्या
jithender,जितेन्द्र
governsance,गवर्नसेंस
backlinks,बैकलिंक्स
nirvastri,निर्वस्त्री
bhaban,भबन
masheeneekarann,मशीनीकरण
dhinkar,ढिन्कर्
asantan,असंतन
lutnyachi,लुटण्याची
wajahad,वजाहद
bhaagamdoud,भागमदौड़
suryawansh,सूर्यवंश
faujdaravar,फौजदारावर
eksambamadhye,एकसंबामध्ये
marsinghpet,मारसिंगपेट
dasounda,दसौंदा
benzylpanicillin,बेन्ज़िलपेनिसिलिन
vishaleshan,विशलेषण
ellipsoidal,इलेप्सॉइडल
winglets,विंगलेट्स
hindijanon,हिन्दीजनों
experimental,एक्सपीरिमेंटल
kaalkramanusar,कालक्रमानुसार
pinyasathi,पिण्यासाठी
turba,टर्बा
shyamdevacharya,श्यामदेवाचार्य
apsabya,अपसब्य
jadaave,जड़ावे
qanaujiya,क़नौजिया
kotnees,कोटनीस
ghatvyaapi,घटव्यापी
bhauthare,भौथरे
yellamma,येल्लमा
jalshuddhikaran,जलशुद्धिकरण
arsol,अर्सोल
nanma,नन्मा
parajakta,पराजकता
courtabaher,कोर्टाबाहेर
sartattva,सारतत्त्व
topeshwar,टोपेश्वर
asharfia,अशरफिया
kafirana,काफिराना
marringa,मैरिंगा
brihadeshwara,ब्रहदीश्वर
girgavmadhye,गिरगावमध्ये
pankharod,पंखारोड
malves,माल्व्स
savadi,सावदी
suchank,सूचांक
pahuchaai,पहुंचाई
shawls,शॉल
rathpatiyon,रथपतियों
sandikoi,सांडिकोई
vijayapati,विजयपति
abhinetyanchya,अभिनेत्यांच्या
kathaprasang,कथाप्रसंग
rangarezi,रंगरेज़ी
thoonke,थूंके
bitkula,बिटकुला
monokeros,मोनोकेरोस
pedagozhi,पेडागोजी
katsu,कात्सू
nijaami,निजामी
parchhaaiyaan,परछाईयां
kilaafaa,ख़िलाफ़ा
ujadu,उजाडू
lachpal,लचपाल
nattar,नट्टर
jwaribarobar,ज्वारीबरोबर
gurudeva,गुरुदेवा
mechanically,मकैनिकली
seelampuri,सीलमपुरी
fidlis,फिडलिस
kryter,क्राइटर
karyakartanuma,कार्यकर्तानुमा
goverkar,गोवेरकर
apachu,अपचू
goldwing,गोल्डविंग
shilpadikaram,शिल्पादिकरम
lutpitkar,लुटपिटकर
pyne,पायन
prembhakti,प्रेमभक्ति
tilbugga,तिलबुग्गा
trong,त्रुंग
balendumani,बालेन्दुमणि
marshling,मार्शलिंग
administratib,एडमिनिस्ट्रेटिब
otavia,ओटाविया
jacquelina,जैकलीना
kendri,केंद्री
dharmvadache,धर्मवादाचे
naredco,नरेडको
dhulbhari,धुलभरी
ccu,सीसीयू
gaaye,गायें
scotzo,स्कॉटजो
sanjyji,संजयजी
urbanisation,अर्बेनाइजेशन
coblange,कोबलेंज
aksharki,अक्षरकी
sribanshidhar,श्रीबंशीधर
mandiyaan,मण्डियाँ
kabylie,काबिली
umarkanchanala,उमरकांचनला
ukek,उकेक
adishi,अदिशी
borivalikade,बोरिवलीकडे
surakshavadi,सुरक्षावादी
markinson,मार्किंसन
sebotpadan,सेबोत्पादन
dharengi,धरेंगी
bandarawela,बंदरवाले
vakprahar,वाकप्रहार
ivgeny,इवगेनी
kramaanekaant,क्रमानेकान्त
centersver,सेंटर्सवर
cordiro,कोर्डीरो
pmopg,पीएमओपीजी
kusumkheda,कुसुमखेड़ा
roychoudhury,रायचौधुरी
safipur,सफीपुर
dekhis,देखिस
strininda,स्त्रीनिंदा
prche,पर्चे
visaur,विसौर
mehli,मेहली
faujechya,फौजेच्या
kurzfeld,कुर्जफेल्ड
acupuncturist,एक्यूपंक्चरिस्ट
raajdhaaneemen,राजधानीमें
rochakatpurna,रोचकतपूर्ण
mandirkarmiyon,मंदिरकर्मियों
lalyani,लल्याणी
soora,सोहराय
iterogation,इटेरोगेशन
vidyaache,विद्याचे
vyashniyaak,व्यश्नियाक
chhaadkar,छाड़कर
kholnewale,खोलनेवाले
sunharilal,सुनहरीलाल
anatolij,अनातोलिज
usekhas,उसेखास
pinyachya,पिण्याच्या
stathiscope,स्टेथिस्कोप
sathprabandhan,साथप्रबंधन
baijendra,बैजेंद्र
purvanuman,पूर्वनुमान
bhatakaayenge,भटकाएँगे
confidentil,कॉन्फिडेंटिल
jodidarachi,जोडीदाराची
dhankenge,ढंकेंगे
paheshan,पहेशान
potluri,पोटलुरी
chandimal,चंडीमल
vinok,विनोक
imkar,इमकार
partiyion,पार्टियों
punarbhav,पुनर्भव
entihypertensive,एंटीहाइपरटेन्सिव
eriyalur,एरियालुर
hendon,हेंडन
burnei,बुर्नेई
mumbaikaranchach,मुंबईकरांचाच
uttamrao,उत्तमराव
accrediated,एक्रिडिएटेड
sukcharoen,सुकचारोएन
hosamuddin,होसामुद्दीन
katoge,कटोगे
procurement,प्रोक्यूर्मेंट
vikanyashivaya,विकण्याशिवाय
minnaminungu,मीनामिनुंगा
sampoojit,संपूजित
projacto,प्रोजैक्टो
bijanpur,बिजानपुर
takiyar,तकियार
kankale,कंकले
ekayan,एकायन
moottar,मूत्तर
praudyaugiki,प्रौद्यौगिकी
tylenchorhynchus,टाइलिंकोरिंकस
channarayapatna,चन्नारायपटना
yadahai,यादहै
nodigal,नोदिगल
nerula,नेरुला
ailawadi,एलावादी
radiology,रेडियोलजी
mudrache,मुद्राचे
pratidhwni,प्रतिध्वनि
mandaladhikariyon,मण्डलाधिकारियों
chembarambakkam,चेम्बरामबक्क्म
parishkaranshala,परिष्करणशाला
hatimataiyon,हातिमताइयों
pakadwana,पकडवाना
ftug,फ्टग
taruun,तरूँ
roodhaki,रूढ़की
lalrinunaj,लालरीनुनाज
scupsky,स्कुप्स्की
jhalkiya,झलकिया
sukrati,सुक्रति
kavitesathi,कवितेसाठी
thermopsis,थर्मोपसिस
adhiqtam,अघिकतम
buttamline,बटमलाइन
uchgaav,उचगाव
fumichinio,फ्यूमिचिनियो
kurri,कुर्री
ujian,उजियान
chhuttu,छुट्टू
vapisi,वापिसी
namantarano,नामांतरणो
yotishi,योतिषी
employee,एम्प्लाइ
khamparia,खम्पारिया
shabdadik,शब्दादिक
those,श्से
vichardharna,विचारधारणा
myelo,माइलो
dauraaye,दौराये
apogee,अपयोगी
gandhyukti,गन्धयुक्ति
denley,डेनले
mosseri,मोसेरी
comforting,कम्फ़र्टिंग
shikshaapaddhati,शिक्षापद्धति
sepika,सेपिक
deferment,डिफरमेंट
samajikon,सामाजिकों
lateran,लैटरन
scama,स्कामा
teekshit,तीक्षित
oracal,ओराकल
salija,सलीजा
abhilash,अभिलाष
setstat,सेटस्टेट
afshana,अफ़शाना
batne,बाटने
khacharia,खचारिया
prastaavaasah,प्रस्तावासह
markopoulos,मार्कोपूलोस
folbrey,फोल्ब्रे
manjati,मांजती
saamen,सामें
upalo,उपलो
regulations,रेग्युलेशंस
mhe,म्हे
gufranmab,गुफरानमाब
vandanvaaren,वंदनवारें
mahattapurna,महत्तपूर्ण
umpires,अम्पायर
parokht,परोख्त
rubbling,रबलिंग
yorik,योरिक
tharota,थरोटा
leskenge,लेसकेंगे
tanksale,टांकसाले
gangavarma,गंगावर्मा
qila,किले
chicopractor,चाइकोप्रैक्टर
picone,पिकोन
wahabism,वहाबीज्म
kwadriya,क्वाद्रिया
nansikta,नानसिकता
karigari,कारीगारी
badasgun,बदसगुन
obiratrish,ओबीरात्रीश
khiowali,खियोवाली
rasoigharo,रसोईघरो
bhubhuk,भभक
apmansuchak,अपमानसूचक
panjatani,पंजतानी
expressus,एक्सप्रेसस
kawadat,कवादत
mahokh,महोख
nanchaku,नानचाकू
kirtiman,कीर्तिमान
swanideshan,स्वनिदेशन
khairpal,खैरपाल
sankal,संकाल
alankaramayi,अलंकारमयी
sanmanasathi,सन्मानासाठी
sakramak,सक्रामक
chartage,चार्टेज
tattvonmense,तत्त्वोंमेंसे
yagyakee,यज्ञकी
apnaakara,अपनाकर
livelihood,लाइवलिहुड
moresco,मोरेस्को
holit,होलिट
bancrofty,बैन्क्रॉफ्टी
piranpur,पीरनपुर
sweekar,स्वीकर
mangalgiri,मंगलगिरि
ashlilchubhonachhhote,अश्लीलचुभोनाछोटे
marojo,मरोजो
mangaluram,मंगलुराम
qualities,क्वॉलिटीज़
kutryaanpramaane,कुत्र्यांप्रमाणे
surkhet,सुरखेट
turkmenia,तुर्क़मेनिया
darvajyache,दरवाज्याचे
madhuryadevaya,माधुर्यदेवाय
chhaanhin,छांहीं
pfmc,पीएफएमसी
nyalayane,न्यालयाने
anakaani,आनाकानी
zamaato,ज़मातो
khinche,खिंचे
michalana,मिचलना
directorships,दिरेक्टोर्शिप्स
prakashbhai,प्रकाशभाई
lamborghini,लम्बोर्घिनी
jhonkva,झोंकवा
franchises,फ्रेन्चाइज़
bornilla,बोर्निला
gujaratpramane,गुजरातप्रमाणे
tirukural,तिरुकुरल
tikhtayaan,तिख्तयाँ
bisty,बिस्टी
pornographics,पॉर्नोग्राफिक्स
amtullah,अमतुल्लाह
pyaap,प्याप
priyansha,प्रियांशा
microsat,माइक्रोसेट
tillich,टिलिच
nandkheda,नांदखेड़ा
rayawali,रायावाली
musine,म्यूसिन
secliff,सेक्लिफ
belkharnathdham,बेलखरनाथधाम
amurtata,अमूर्तता
parvaanyaapramaane,परवान्याप्रमाणे
parjaatantar,परजातंतर
saphedposh,सफेदपोश
kasewadi,कासेवाडी
lungiyaan,लुंगियाँ
bhrantigrast,भ्रांतिग्रस्त
berricket,बेरिकेट
chiraute,चिरौटे
sugoli,सुगोली
homemaker,होममेकर
mitaneke,मिटानेके
sportscaster,स्पोर्ट्सकास्टर
bharmanewali,भरमानेवाली
stanbikinibhayankar,स्तनबिकिनीभयंकर
santushtata,सन्तुष्टता
marked,मार्क्ड
sisodio,सिसोदियो
bhandaari,भण्डारी
chipakate,चिपकते
kampili,काम्पिली
periwal,पेरीवाल
ahilyeshwar,अहिल्येश्वर
jhaalyaavarhi,झाल्यावरही
punjoo,पंजू
yuvaoko,युवाओको
chargesheeton,चार्जशीटों
muhallawar,मुहल्लावार
merset,मेरसेट
asera,असेरा
smriyati,स्मृयति
rodchhappar,रोड़छप्पर
sutaru,सुतारू
dcbo,डीसीबीओ
shidhapatrikadharkanchi,शिधापत्रिकाधारकांची
tayyab,तय्याब
anandamein,आनंदमें
damarukeshwar,डमरूकेश्वर
cryosphere,क्राइसोफियर
magnetometer,मैग्नैटोमीटर
matampur,मातमपुर
jhagwa,झगवा
deviation,डिविएशन
ishmael,इस्माइल
hathikadi,हथिकड़ी
hadarlyache,हादरल्याचे
dagadanmadhye,दगडांमध्ये
raqeeb,रकीब
yaumiya,यौमिया
dadeldhura,डाडेलधुरा
ollappally,ओल्लापल्ली
ipn,आईपीएन
sarak,सराक
naipaliyon,नैपालियों
drutaveg,द्रुतवेग
hometheter,होमथेटर
upkramansathi,उपक्रमांसाठी
harigrih,हरिगृह
tangotbah,तंगोतबाह
navarro,नावेरो
bcomchya,बीकॉमच्या
debhoumik,देभौमिक
vaidhmapanshastra,वैधमापनशास्त्र
hammerhead,हैमरहैड
kohut,कोहुट
shallack,शैलैक
pembelian,पेम्बेलियन
shraddhadev,श्रद्धादेव
boddapati,बोडदापति
vasantnagarmadhil,वसंतनगरमधील
shanmugasundaram,शनमुगसुंदरम
terapin,टेरापिन
junas,जुनास
afreeki,अफ्रीकी
tihaaro,तिहारो
gbi,जीबीआइ
pahunchavaai,पहुंचवाई
bagala,बगला
malkata,मालकाटा
shivirbaaz,शिविरबाज
tajpipra,ताजपिपरा
tambhit,तम्भित
hattarke,हत्तरके
drackena,ड्रैकेना
manikam,मनिकम
ador,एडोर
vigyankarmi,विज्ञानकर्मी
pakdoge,पकड़ोगे
tamoghana,तमोघना
indiahi,इंडियाही
hijraavaan,हिजरावां
yumont,युमोंट
weg,वैग
linings,लाइनिंग्स
manochikitsako,मनोचिकित्सकों
velvetti,वेल्वेटी
podnoor,पोडनूर
dialation,डाइलेशन
attarde,अटार्डे
cronye,क्रोन्ये
jayakrishnan,जयकृष्णन
taraaiyaan,तराईयाँ
shariate,शरीअते
pakauden,पकौडें
bev,बेव
avgila,अवगिला
vidarbhi,विदर्भी
toranzo,तोरांजो
radioskhi,रेडियोसखी
manguri,मंगुरी
mahsheed,महशीद
thupen,थूपेन
thaapaagaaun,थापागाउँ
bharhana,भरहाणा
kuttiyadi,कुट्टियाडी
bhadravarg,भद्रवर्ग
shankarapuram,शंकरपुरम
ekarangita,एकरंगिता
sarshare,सरशारे
hajjar,हज्जर
kanye,कान्ये
burberry,बुरीबेरी
lipidemic,लिपिडेमिक
deplator,डीप्लेटर
haayidrojan,हाइड्रोजन
graphric,ग्राफ्रिक
pichhiya,पिछिया
kaangresachyaavatine,काँग्रेसच्यावतीने
champakesvara,चम्पकेश्वर
nishval,निष्फल
bamrung,बमरुंग
labhuram,लभूराम
landmine,लैंडमाईन
aiplikeshans,ऐप्लिकेशंस
pahanegi,पहनेगी
tavenize,तावेनाइज
jamidari,जमीदारी
basksh,बख़्श
sutapasoon,सुतापासून
infrastructurers,इन्फ्रास्ट्रक्चरस
jagge,जग्गे
mukaddamebaazi,मुकद्दमेबाज़ी
pandharwada,पंढ़ारवाड़ा
khandagiri,खांडागिरि
usbek,उज़बेग
majurisathi,मजुरीसाठी
maybel,मेबेल
janboddhikta,जनबौद्धिकता
trilokdeep,त्रिलोकदीप
sukhviri,सुखवीरी
dhurai,धुराई
shyamantak,श्यामन्तक
pracharsahitya,प्रचारसाहित्य
phulwale,फूलवाले
khopyaat,खोप्यात
pareekathaanahin,परीकथानहीं
udaaungi,उड़ाऊँगी
gurmesh,गुरमेश
prajatika,प्रजातिका
sivuk,सिवुक
sadara,सदारा
dossing,डॉसिंग
bornon,बोर्नों
makaila,मकैला
ethyl,इथाइल
shetikhalokhal,शेतीखालोखाल
malidyacha,मलिद्याचा
maabi,माबी
chilu,चिलू
garbage,गार्बिज
ilsi,आईएलएसआई
vighanon,विघनों
matla,मटला
navanirvaachat,नवनिर्वाचत
khsot,खसोट
enterprisewide,एन्टरप्राइज़
karnaghanta,कर्णघण्टा
vikaskartao,विकासकर्ताओ
dhawadwadi,धावडवाडी
ichhela,इच्छेला
suvarsha,सुवर्षा
chakchainpura,चकचैनपुरा
semarikalan,सेमरीकलां
shoshanmay,शोषणमय
charanonke,चरणोंके
dhumravarni,धूम्रवर्णी
sukhaayegi,सुखाएगी
atikrameet,अतिक्रमीत
dhaniyabheti,धनियाभेती
mohti,मोहती
prakaasheey,प्रकाशीय
fleshing,फ्लेशिंग
bhagon,भागों
chayankartta,चयनकर्त्ता
teemdwara,टीमद्वारा
bhandavaldaranchi,भांडवलदारांची
jigni,जिगनी
barbor,बार्बोर
transportations,ट्रांसपोर्टेशन
gramsabhaon,ग्रामसभाओं
kirtish,कीर्तीश
hackeron,हैकरॉन
marapani,मारापानी
aakadevaar,आकड़ेवार
nizamshahi,निज़ामशाही
radhakrishnanagar,राधाकृष्णनगर
puvalli,पूवल्ली
iliva,इलिवा
bodhidrum,बोधिद्रुम
keaashrit,केआश्रित
undp,यूएनडीपी
pedestal,पैडेस्टल
